#################### 66.5400009155273% de validaciones correctas ####################


2022-08-13T20:42:00.198716400 --- [PEDIDO]= 61 296 101 256; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:00.396406900 --- [PEDIDO]= 19 55 31 16; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:00.573477200 --- [PEDIDO]= 7 3 271 83; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:00.709289900 --- [PEDIDO]= 179 16 133 92; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-08-13T20:42:00.935666300 --- [PEDIDO]= 104 81 9 125; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:01.144482100 --- [PEDIDO]= 180 292 231 260; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:01.298507200 --- [PEDIDO]= 268 158 168 93; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-13T20:42:01.557006700 --- [PEDIDO]= 137 151 37 19; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:01.749607200 --- [PEDIDO]= 122 210 61 13; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:01.933565600 --- [PEDIDO]= 12 231 273 73; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:02.059900100 --- [PEDIDO]= 221 15 202 49; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:02.262188400 --- [PEDIDO]= 29 196 252 90; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-08-13T20:42:02.463471700 --- [PEDIDO]= 283 240 117 69; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-08-13T20:42:02.582479500 --- [PEDIDO]= 97 128 159 225; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-08-13T20:42:02.786710900 --- [PEDIDO]= 105 136 103 282; --- [Usuario]=1[VERICIDAD FIRMA]= false
