#################### 74.44444% de validaciones correctas ####################

2022-10-26T20:39:28.145623700 --- [PEDIDO]= 165 295 129 251; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:28.345820500 --- [PEDIDO]= 287 273 0 43; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:28.600363400 --- [PEDIDO]= 283 42 227 143; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:28.850249500 --- [PEDIDO]= 57 205 199 261; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:29.061399200 --- [PEDIDO]= 236 232 173 211; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:29.261763700 --- [PEDIDO]= 231 290 175 178; --- [Usuario]=2[VERICIDAD FIRMA]= true
2022-10-26T20:39:29.498432400 --- [PEDIDO]= 238 108 294 143; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:29.706644800 --- [PEDIDO]= 219 111 131 96; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-26T20:39:29.906565100 --- [PEDIDO]= 75 5 243 104; --- [Usuario]=1[VERICIDAD FIRMA]= false
2022-10-26T20:39:30.137628100 --- [PEDIDO]= 10 89 260 238; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:30.329181800 --- [PEDIDO]= 166 246 183 255; --- [Usuario]=3[VERICIDAD FIRMA]= false
2022-10-26T20:39:30.572720200 --- [PEDIDO]= 89 59 86 278; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-26T20:39:30.880669300 --- [PEDIDO]= 89 262 116 237; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:31.059657200 --- [PEDIDO]= 51 206 195 58; --- [Usuario]=1[VERICIDAD FIRMA]= true
2022-10-26T20:39:31.237269900 --- [PEDIDO]= 89 170 38 190; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:31.448271900 --- [PEDIDO]= 109 146 43 89; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:31.664810900 --- [PEDIDO]= 70 216 86 61; --- [Usuario]=2[VERICIDAD FIRMA]= false
2022-10-26T20:39:31.848881 --- [PEDIDO]= 68 165 252 118; --- [Usuario]=3[VERICIDAD FIRMA]= true
2022-10-26T20:39:32.042979900 --- [PEDIDO]= 224 69 261 285; --- [Usuario]=1[VERICIDAD FIRMA]= false
