#################### 78.125% de validaciones correctas ####################

2022-11-23T12:13:43.816316700 --- [PEDIDO]= 11 1 1 1; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:36:48.335530700 --- [PEDIDO]= 2 1 1 1; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:35.260864100 --- [PEDIDO]= 143 149 273 278; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:35.471179200 --- [PEDIDO]= 89 152 185 101; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:35.686652100 --- [PEDIDO]= 227 53 182 10; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:35.819565700 --- [PEDIDO]= 13 138 28 125; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:35.982225400 --- [PEDIDO]= 3 167 166 221; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:36.187098200 --- [PEDIDO]= 14 140 123 19; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:36.386551200 --- [PEDIDO]= 173 89 55 116; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:36.514663900 --- [PEDIDO]= 145 205 188 153; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:36.722111400 --- [PEDIDO]= 67 99 257 9; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:36.940047500 --- [PEDIDO]= 279 120 122 97; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:37.142103600 --- [PEDIDO]= 92 296 58 207; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:37.333033900 --- [PEDIDO]= 274 157 42 193; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:37.464723 --- [PEDIDO]= 251 193 25 39; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:37.640092500 --- [PEDIDO]= 205 2 206 52; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:37.743111200 --- [PEDIDO]= 121 265 234 113; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:37.942011 --- [PEDIDO]= 13 287 45 269; --- [Usuario]=2[VERACIDAD FIRMA]= false
2022-11-23T12:37:38.049296400 --- [PEDIDO]= 183 20 79 187; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:38.238710200 --- [PEDIDO]= 216 178 212 167; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:38.346834 --- [PEDIDO]= 255 246 31 272; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:38.493917400 --- [PEDIDO]= 163 5 151 238; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:38.691561600 --- [PEDIDO]= 225 68 111 276; --- [Usuario]=1[VERACIDAD FIRMA]= true
2022-11-23T12:37:38.817843600 --- [PEDIDO]= 4 244 67 259; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.016748600 --- [PEDIDO]= 210 116 300 122; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.174906 --- [PEDIDO]= 84 273 258 125; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.342754800 --- [PEDIDO]= 285 280 196 234; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.467323 --- [PEDIDO]= 117 111 220 299; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.666822100 --- [PEDIDO]= 260 295 121 30; --- [Usuario]=3[VERACIDAD FIRMA]= true
2022-11-23T12:37:39.782195400 --- [PEDIDO]= 105 14 180 107; --- [Usuario]=1[VERACIDAD FIRMA]= false
2022-11-23T12:37:39.926289900 --- [PEDIDO]= 174 8 132 203; --- [Usuario]=2[VERACIDAD FIRMA]= true
2022-11-23T12:37:40.111973100 --- [PEDIDO]= 207 273 105 111; --- [Usuario]=2[VERACIDAD FIRMA]= true
